gene_id	symbol	ratio
373854	ODZ2	-0.913209901
373885	FZD10	1.119324572
373886	FZD9	-0.24445298
373887	FZD4	0.0421479898
373888	TFAM	-0.218967968
373889	HK1	0.0373570784
373890	ADRA1B	-0.678071905
373891	RECQL5	-0.267426175
373892	ADD3	0.0594280105
373893	RX2	-0.807354922
373894	SDK1	-0.663007935
373896	UCP3	0.141293996
373897	MUSK	-0.649379229
373898	KIAA1274	0.2385935466
373899	PDIA3	0.2267849296
373900	UGP2	0.6421529229
373901	LMO4	0.5146240248
373902	NR1H4	-0.566540912
373903	DIO2	-0.712441242
373904	RHOBTB2	0.1449507992
373905	BASP1	-0.068342507
373906	NRG1	-0.245699795
373907	AHR	0.5629054791
373908	EDNRA	-1.140101972
373909	EDNRB2	0.4197139865
373910	NHLH1	4.4069641987
373911	PTPRO	-2.278535499
373913	NR2C1	0.0912943296
373914	QSOX1	-0.123873245
373916	ACO1	-0.367100768
373917	LGALS3	-0.376448711
373918	ACTN1	0.005145617
373919	RUNX2	0.6337710421
373920	MID1	-0.428299399
373921	ZNF622	-0.527523646
373922	LIMK1	0.0065428459
373923	CELF1	-0.313655381
373924	CACNG4	0.9205655325
373925	ARNTL2	-0.804784647
373926	FGB	0.5604351934
373927	CDH20	-1.48169323
373928	PPARG	0.6346884565
373929	MAPKAPK5	-0.435437714
373930	SUMO1	-0.010323971
373931	EGR1	0.5905077291
373933	GRM5	-0.321928095
373934	HOXA13	-0.016053232
373935	DACH1	-0.650800314
373936	RPL36	-0.169972939
373937	RPL22	-0.162480512
373938	VAV2	-0.731930851
373939	VAV3	0.6974321968
373941	PRRX1	-0.423761145
373942	AGMAT	0.0052868376
373943	TBX20	-0.04580369
373945	ABCA1	-0.184667021
373947	FDX1	-0.006879604
373948	MATR3	-0.085136503
373949	B3GAT1	1.0834160082
373952	NBL1	-0.508653045
373953	MAPK1	-0.182411357
373954	BCL2L1	-0.179909938
373956	ADORA3	-1.2410081
373957	RPL6	-0.162634758
373960	SMYD1	1
373961	HDAC1	-0.623015385
373963	EEF1A1	0.1046851706
373964	MSTN	-1.540568381
373965	CALD1	-0.130508126
373967	SLIT2	-1.652076697
373969	DLX5	2.4306343543
373970	ROCK1	-0.026628236
373972	PRPF40A	0.2127525631
373975	IRX2	0
373976	ALX4	-0.710443892
373977	PSEN1	0.1411698409
373978	COL18A1	-0.575424112
373979	FBLN1	-0.11981159
373980	LAMB2	0.3723166243
373981	HPSE	-0.209923069
373983	BRCA1	-0.169567943
373984	PCNA	-0.308296642
373985	CHRDL1	-0.280107919
373986	LMBR1	-0.332108046
373987	THBS1	0.2445097882
373989	TBX4	-0.182864057
373990	TBX2	-0.43000335
373991	CLOCK	0.2599949056
373992	FBN1	-0.622607953
373994	POU2AF1	-1.229481846
373996	CAV1	0.1332256436
373997	LDHB	-0.189770273
373998	CRYBA4	1.4918530963
373999	CRYBA2	0.4238470546
374000	CRYBB1	0.132103536
374001	CHRNA7	-0.557878622
374002	CKMT1A	2.6543839017
374003	POLK	-0.046521144
374005	HCRT	-0.740912779
374006	SAT1	-0.173553435
374008	EPHA6	1
374009	ACO2	-0.127161022
